Site,Year,Season,NPP_dry,NPP_carbon,NPP_nitrogen,Growth_rate_dry,Growth_rate_carbon,Growth_rate_nitrogen,SE_NPP_dry,SE_NPP_carbon,SE_NPP_nitrogen,SE_growth_rate_dry,SE_growth_rate_carbon,SE_growth_rate_nitrogen
MOHK,2004,1-Winter,0.0119389894,0.0031037021,0.0002298912,0.0266773854,0.0262577162,0.0245086036,0.0021212871,0.0005709888,0.0000483149,0.0044464999,0.0044418802,0.0042280748
MOHK,2004,2-Spring,0.0090494613,0.0023576557,0.0001522072,0.0425605632,0.0431940129,0.0444892865,0.0009480138,0.0002584088,0.000020271,0.0038030984,0.0038819213,0.0039920312
MOHK,2004,3-Summer,0.015054909,0.0043885276,0.0002427999,0.0346627563,0.0357455484,0.0339633449,0.0016104131,0.0004925045,0.0000361184,0.002903112,0.0029844103,0.0034649002
MOHK,2004,4-Autumn,0.0166536995,0.0044082503,0.0002433904,0.0392433389,0.0380958804,0.03846648,0.0019452964,0.0005685221,0.0000395043,0.0042694627,0.004315086,0.0046122641
MOHK,2005,1-Winter,0.0127786414,0.0034360125,0.0001971123,0.0550278391,0.0540839052,0.054708153,0.002317969,0.0006315681,0.0000391175,0.0083451808,0.0084101915,0.0086445089
MOHK,2005,2-Spring,0.00791329,0.0021077676,0.0001828667,0.0370741971,0.038055208,0.0414835333,0.0006438304,0.0001830078,0.0000223947,0.0023135911,0.0024950034,0.0031936896
MOHK,2005,3-Summer,0.0118755819,0.0032941987,0.000207922,0.0298348456,0.0304474942,0.0262488921,0.0012054642,0.0003589943,0.0000327465,0.0024159206,0.0025159125,0.003040039
MOHK,2005,4-Autumn,0.0084036439,0.0022377836,0.0001279947,0.026927492,0.0261594218,0.0269476975,0.0011902068,0.0003432482,0.0000239043,0.004290529,0.0044023424,0.0046340813
MOHK,2006,1-Winter,0.0016669893,0.0004417018,0.0000229734,0.0307204894,0.0312022017,0.0313440825,0.00053123,0.0001431662,8.5290431E-6,0.0057372352,0.0057497366,0.0059901937
MOHK,2006,2-Spring,0.0019599547,0.0005570573,0.0000298809,0.0438612618,0.0445889153,0.0433341657,0.0001731584,0.0000546224,4.1166915E-6,0.0030236186,0.0030921688,0.0035618999
MOHK,2006,3-Summer,0.0088689956,0.0025777748,0.0000879452,0.0405210058,0.0403506369,0.0354145298,0.0006378441,0.0002124875,0.0000110126,0.0021679593,0.0023045921,0.0028774094
MOHK,2006,4-Autumn,0.0228951477,0.0070581503,0.0003450765,0.0337057395,0.034511067,0.0395078342,0.0022556908,0.0007672084,0.0000482464,0.002724897,0.0028504681,0.0033012434
MOHK,2007,1-Winter,0.0320598938,0.0087956287,0.0006917676,0.0411487941,0.0393333909,0.0441919917,0.0028914649,0.0008808343,0.000082737,0.0032880785,0.0033717249,0.0037146768
MOHK,2007,2-Spring,0.0337112882,0.0082200127,0.0005766384,0.0351017757,0.0347664787,0.033008362,0.0028593709,0.0007834025,0.0000751071,0.0026620634,0.0027366707,0.0031961197
MOHK,2007,3-Summer,0.0180909614,0.004702048,0.0002308963,0.0287950844,0.0289955209,0.0236387733,0.0020366586,0.0005489702,0.0000356973,0.0029844218,0.0030703574,0.0034787384
MOHK,2007,4-Autumn,0.0146476191,0.0037657148,0.0002718274,0.0367230514,0.0366040178,0.0423579947,0.0017475236,0.0004902674,0.0000419577,0.005100474,0.0051918041,0.005438619
MOHK,2008,1-Winter,0.0064707338,0.001655961,0.0001310984,0.0517516519,0.0530756788,0.0546246178,0.0010588242,0.0002750148,0.0000221379,0.0076019155,0.0076280437,0.0077959677
MOHK,2008,2-Spring,0.0085943017,0.0025090289,0.0001597597,0.0518438312,0.0517133186,0.0485191256,0.0008062032,0.0002585183,0.0000223285,0.0031693327,0.0032538693,0.0035954858
MOHK,2008,3-Summer,0.0125546322,0.0038327585,0.0001556484,0.0317236727,0.0321946513,0.0283463598,0.0009751408,0.0003298769,0.000020971,0.0021062746,0.0022254978,0.0027963147
MOHK,2008,4-Autumn,0.0289321726,0.0099871915,0.0005745454,0.0397874157,0.0412331931,0.0456804576,0.002932188,0.0010645272,0.0000731262,0.0037430461,0.0038135632,0.0042437407
MOHK,2009,1-Winter,0.0343614763,0.0091679026,0.0008289743,0.0360572225,0.0333636888,0.0379346622,0.0030990139,0.0009623899,0.0001079457,0.0027777078,0.0029138842,0.0033200729
MOHK,2009,2-Spring,0.0445147126,0.0114817929,0.0009129288,0.042004742,0.0415613082,0.0357316436,0.0042703669,0.0011571067,0.0001335525,0.0034893409,0.0035977689,0.0039212897
MOHK,2009,3-Summer,0.0162172369,0.0046716652,0.0002390537,0.0353721099,0.0367450408,0.0365118092,0.0022835078,0.000661947,0.0000417533,0.0044320409,0.0044323962,0.0047911911
MOHK,2009,4-Autumn,0.0104076971,0.002885638,0.00014799,0.0503181396,0.049739043,0.050779993,0.0011973699,0.0003470979,0.0000212844,0.0052663378,0.0053315578,0.0054644314
MOHK,2010,1-Winter,0.0036844043,0.0011206615,0.000072861,0.038282865,0.0391629644,0.041883099,0.0007120857,0.0002157642,0.0000151284,0.0074509274,0.0074908575,0.0072633868
MOHK,2010,2-Spring,0.0008726633,0.0002833719,0.0000236472,0.0451251812,0.0459056893,0.0440137343,0.0001453967,0.0000479569,4.9948865E-6,0.0052342767,0.0053088509,0.0055502302
MOHK,2010,3-Summer,0.0081935274,0.0027620372,0.0001834698,0.047469025,0.0478984336,0.0489322834,0.0005164572,0.0002169875,0.0000251552,0.0013762345,0.0015729272,0.0024668515
MOHK,2010,4-Autumn,0.0109977782,0.0037942115,0.000296301,0.025613731,0.0256318392,0.0272110144,0.000972703,0.000375656,0.0000411921,0.0019888931,0.0021170486,0.0027742843
MOHK,2011,1-Winter,0.0232670588,0.0063598251,0.0004810223,0.0374200778,0.0341097594,0.034379768,0.0023056076,0.0006743378,0.0000668213,0.0030772826,0.0031148612,0.0035059367
MOHK,2011,2-Spring,0.034842726,0.0102859491,0.0007302382,0.038411511,0.0398146921,0.0371359949,0.0032336795,0.0010017654,0.0001016757,0.0031525231,0.0032313705,0.0036233635
MOHK,2011,3-Summer,0.0258154274,0.0072077575,0.0003456823,0.0287209859,0.0262111793,0.0243961962,0.002655699,0.0008456316,0.0000573351,0.0026640215,0.0027567024,0.0032123604
MOHK,2011,4-Autumn,0.0158236224,0.0045637746,0.0003091622,0.0260286634,0.0292746335,0.0319694714,0.001620934,0.0004804857,0.0000425472,0.0023662322,0.0024925441,0.0030665342
MOHK,2012,1-Winter,0.0183257063,0.0059061549,0.0004638779,0.0328276293,0.032999721,0.0355859321,0.0020199809,0.0006934152,0.000065041,0.0034372838,0.0034627767,0.003720973
MOHK,2012,2-Spring,0.0136551789,0.0034756672,0.0002001761,0.0283920633,0.0271635146,0.0207358069,0.0015397984,0.0004453995,0.0000415185,0.0027583342,0.0027764454,0.0033278729
MOHK,2012,3-Summer,0.0078244552,0.0023960724,0.0000760724,0.0235620387,0.0246126623,0.021648803,0.0009866844,0.000312307,0.0000133456,0.0028279109,0.0029317254,0.0032673071
MOHK,2012,4-Autumn,0.0090925617,0.0030794652,0.0001598919,0.042611179,0.0419858387,0.0490280705,0.0012600766,0.0004564302,0.000026711,0.0056047101,0.0056810279,0.0059241418
MOHK,2013,1-Winter,0.0065855732,0.0022619597,0.0001660196,0.0314969656,0.0339478511,0.0333283117,0.0007944977,0.0002794877,0.0000282907,0.0030274987,0.0030986844,0.0035881895
MOHK,2013,2-Spring,0.0043374611,0.001291235,0.0000554405,0.0277440245,0.0265443813,0.0214705129,0.0005986474,0.0002040898,0.0000139254,0.003561507,0.0036574956,0.0041071901
MOHK,2013,3-Summer,0.0067307013,0.0020194158,0.0000803387,0.0226742086,0.0222017111,0.021114348,0.0006713393,0.0002270849,0.0000172702,0.001519564,0.0016775253,0.0029513114
MOHK,2013,4-Autumn,0.0056435316,0.0016261891,0.0000468624,0.0210837423,0.0212248804,0.0174280441,0.0006809704,0.0002129858,9.5841488E-6,0.0021954149,0.0024034782,0.0030278554
MOHK,2014,1-Winter,0.0074897884,0.0021528427,0.0001155119,0.0295667929,0.0306138402,0.040097795,0.0013042472,0.0003941493,0.0000230657,0.0043191486,0.0044774412,0.0048744712
MOHK,2014,2-Spring,0.0061716246,0.0020552054,0.0000805946,0.0367978194,0.0371665955,0.0312894895,0.0005434256,0.0001901447,0.0000130984,0.0020513115,0.0021559239,0.0031662569
MOHK,2014,3-Summer,0.0079148412,0.0031381349,0.0000809461,0.0252637116,0.026970438,0.0261546402,0.0008310395,0.0003491561,0.0000120723,0.002314358,0.0024483069,0.0029260666
MOHK,2014,4-Autumn,0.0104363516,0.0038011487,0.0001639694,0.0252810454,0.0252351425,0.0310534652,0.0011906716,0.0004771648,0.0000246788,0.0026324067,0.0027433096,0.0032706065
MOHK,2015,1-Winter,0.0179448083,0.0070604174,0.0002812257,0.0398999603,0.039150914,0.0381032875,0.0026649353,0.0011257304,0.0000519934,0.0054313908,0.0055665927,0.0058041753
MOHK,2015,2-Spring,0.0179204183,0.0063234708,0.000310811,0.0338166738,0.0335967093,0.0344194377,0.001709879,0.0006587012,0.0000428659,0.0030571916,0.0031405167,0.0036622032
MOHK,2015,3-Summer,0.0170017099,0.005922966,0.0001559562,0.0267484489,0.0269873712,0.021207414,0.0023613408,0.0008795885,0.0000328873,0.0036726489,0.0036996422,0.0039558332
MOHK,2015,4-Autumn,0.0033891901,0.001194305,0.0000478541,0.020373531,0.0192630918,0.028392294,0.0011144673,0.0004101272,0.000012602,0.0059774008,0.0060283476,0.0064656052
MOHK,2016,1-Winter,0.000585953,0.0001867702,0.0000145609,0.0382892402,0.0372756926,0.038386121,0.0002036821,0.0000675045,4.4526789E-6,0.0095906964,0.00940603,0.0094605498
MOHK,2016,2-Spring,0.0014801393,0.000479826,0.000020467,0.0566530676,0.0577679398,0.0541025422,0.0001233406,0.0000478317,2.9597261E-6,0.0043434359,0.004402275,0.0046235778
MOHK,2016,3-Summer,0.0033688094,0.0012563734,0.0000580392,0.0280869092,0.029405969,0.0306080895,0.0003616532,0.0001440159,9.141792E-6,0.0019604627,0.0020966023,0.0028344392
MOHK,2016,4-Autumn,0.0191478963,0.0059219894,0.0003717019,0.0448701629,0.042604891,0.0458876966,0.0018177983,0.0006372232,0.0000524233,0.0032948532,0.0033761809,0.003930996
MOHK,2017,1-Winter,0.0186454383,0.005472971,0.0003965949,0.0461437004,0.0484045582,0.0498785185,0.0037049319,0.0010594224,0.0000827171,0.0079487316,0.0079936033,0.0081943418
MOHK,2017,2-Spring,0.0150325312,0.0049043055,0.0003173263,0.0361617525,0.0354361831,0.0310245504,0.0012528397,0.000450825,0.00004168,0.0023279061,0.0024353428,0.0027744536
MOHK,2017,3-Summer,0.0211054413,0.0066421746,0.0002135148,0.0304628617,0.0296861047,0.0271918869,0.0021472552,0.00073527,0.000033522,0.0025507575,0.0026704108,0.003206633
MOHK,2017,4-Autumn,0.0111569955,0.0033004008,0.0001834123,0.0262414031,0.0257597363,0.0286499718,0.001491312,0.0004779918,0.0000294815,0.0030328167,0.0031317361,0.0035448277
MOHK,2018,1-Winter,0.0134588394,0.004062062,0.0002768604,0.0422554007,0.0423289449,0.0487449199,0.0015537625,0.0004910304,0.000035716,0.0045932277,0.0046572328,0.0049577246
MOHK,2018,2-Spring,0.0161526226,0.0049888038,0.0002965722,0.0301667543,0.0298468466,0.0255356522,0.0013521036,0.0004739968,0.0000504552,0.0019718887,0.0020926167,0.0027936988
MOHK,2018,3-Summer,0.0071492996,0.0019779593,0.0001113795,0.0175071022,0.0168663877,0.017548553,0.0012592214,0.0003886023,0.0000268809,0.0032795428,0.0033090736,0.0038693076
MOHK,2018,4-Autumn,0.0051219208,0.0015437239,0.0000661272,0.0581107553,0.0597644369,0.0575626479,0.0009736845,0.0003022186,0.0000153059,0.0104203769,0.0104299121,0.0106603593
MOHK,2019,1-Winter,0.0013683882,0.0004184234,0.0000210022,0.077527421,0.0767941991,0.0804262015,0.0002286884,0.0000730096,4.0410406E-6,0.0096996519,0.0097330349,0.0098950537
MOHK,2019,2-Spring,0.0058289571,0.0018331674,0.0000954519,0.0614685949,0.0616096964,0.0596257407,0.0003532618,0.0001380617,0.0000152002,0.0024145282,0.0024996704,0.0030970268
MOHK,2019,3-Summer,0.011214872,0.003607794,0,0.0269133873,0.0275900303,0,0.0016252185,0.0006596366,0.0000229966,0.0034872399,0.0044702749,0.003878281
MOHK,2019,4-Autumn,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
